id,true,ours,bracol,n_det,multi_lesion,agree
262,Phoma,Phoma,Phoma,3,False,1
112,Rust,Rust,Rust,10,False,1
1119,Miner,Miner,Phoma,6,False,0
679,Cercospora,Cercospora,Cercospora,1,False,1
622,Miner,Phoma,Phoma,2,False,1
1714,Miner,Cercospora,Phoma,1,False,0
395,Phoma,Phoma,Phoma,3,False,1
1353,Rust,Rust,Rust,8,False,1
994,Healthy,Healthy,Healthy,0,False,1
1021,Miner,Cercospora,Phoma,2,False,0
1618,Cercospora,Miner,Rust,13,False,0
1239,Rust,Rust,Rust,23,False,1
1354,Rust,Rust,Rust,17,False,1
1603,Rust,Rust,Rust,12,False,1
1017,Miner,Miner,Phoma,2,False,0
439,Cercospora,Cercospora,Cercospora,1,False,1
392,Phoma,Phoma,Phoma,3,False,1
795,Miner,Miner,Phoma,1,False,0
1472,Rust,Rust,Rust,11,True,1
851,Miner,Miner,Phoma,2,False,0
1350,Rust,Rust,Rust,12,False,1
1678,Rust,Cercospora,Rust,20,True,0
231,Healthy,Healthy,Healthy,0,False,1
546,Phoma,Phoma,Phoma,1,False,1
1070,Miner,Miner,Phoma,1,False,0
499,Phoma,Phoma,Phoma,3,False,1
888,Miner,Miner,Phoma,2,False,0
396,Phoma,Phoma,Phoma,3,False,1
1673,Cercospora,Miner,Cercospora,1,False,0
978,Healthy,Healthy,Healthy,0,False,1
944,Healthy,Healthy,Healthy,0,False,1
71,Miner,Miner,Phoma,2,False,0
966,Healthy,Healthy,Healthy,0,False,1
489,Phoma,Phoma,Phoma,3,False,1
1593,Rust,Rust,Rust,4,False,1
1566,Rust,Rust,Rust,4,True,1
1383,Rust,Rust,Rust,8,False,1
1447,Rust,Rust,Rust,6,True,1
56,Miner,Miner,Miner,2,False,1
1661,Cercospora,Cercospora,Rust,5,True,0
637,Rust,Phoma,Phoma,1,False,1
94,Rust,Rust,Rust,24,True,1
248,Phoma,Phoma,Phoma,2,False,1
1346,Rust,Rust,Rust,23,False,1
531,Phoma,Phoma,Phoma,2,False,1
720,Rust,Rust,Rust,4,True,1
204,Healthy,Healthy,Healthy,0,False,1
284,Phoma,Phoma,Phoma,1,False,1
1080,Rust,Rust,Rust,2,False,1
1234,Rust,Rust,Rust,5,False,1
701,Healthy,Miner,Healthy,0,False,0
388,Phoma,Phoma,Phoma,3,False,1
556,Phoma,Phoma,Phoma,5,False,1
558,Rust,Rust,Rust,6,False,1
130,Rust,Rust,Rust,18,False,1
1388,Rust,Rust,Rust,11,False,1
605,Rust,Cercospora,Rust,6,False,0
1347,Rust,Rust,Rust,7,False,1
1387,Cercospora,Miner,Rust,3,False,0
175,Healthy,Healthy,Healthy,0,False,1
997,Miner,Miner,Phoma,1,False,0
1605,Rust,Rust,Rust,17,False,1
1498,Rust,Rust,Rust,5,False,1
1028,Miner,Miner,Phoma,1,False,0
481,Phoma,Phoma,Phoma,2,False,1
949,Healthy,Healthy,Healthy,0,False,1
742,Cercospora,Cercospora,Cercospora,1,False,1
